report_date,fromprovince_new,toprovince_new,externallane_new,client_name,mau,avg_lt_prepickup_hour,avg_lt_firstmile_hour,avg_lt_middlemile_hour,avg_lt_lastmile_hour,avg_lt_e2e_hour
2026-08-14,,,,SPB,8,1.36,15.86,22.23,9.63,49.12
2026-08-14,,,,SPE,28,2.91,13.48,40.23,13.68,71.99
2026-08-14,Bắc Ninh,Hà Nội,Intra region,SPB,704,8.8,5.74,11.84,13.76,40.22
2026-08-14,Bắc Ninh,Hà Nội,Intra region,SPE,1683,6.04,11.52,11.22,13.07,41.83
2026-08-14,Cà Mau,Phú Thọ,Cross region,SPB,1,0.07,,,22.88,125.15
2026-08-14,Gia Lai,Tuyên Quang,Cross region,SPB,1,0.0,,,2.63,75.47
2026-08-14,Hà Nội,An Giang,Cross region,SPB,371,3.27,8.53,58.03,15.01,84.76
2026-08-14,Hà Nội,An Giang,Cross region,SPE,2575,3.62,9.85,57.26,15.01,85.89
2026-08-14,Hà Nội,Bắc Ninh,Intra region,SPB,749,3.05,10.76,13.08,15.88,42.99
2026-08-14,Hà Nội,Bắc Ninh,Intra region,SPE,3749,3.48,10.47,11.69,16.91,42.82
2026-08-14,Hà Nội,Cần Thơ,Cross region,SPB,301,2.46,9.23,51.19,18.77,81.6
2026-08-14,Hà Nội,Cần Thơ,Cross region,SPE,2318,3.49,9.89,52.15,15.31,80.96
2026-08-14,Hà Nội,Gia Lai,Cross region,SPB,301,3.01,9.25,39.8,11.99,64.17
2026-08-14,Hà Nội,Gia Lai,Cross region,SPE,1755,3.07,9.64,41.91,10.85,65.74
2026-08-14,Hà Nội,Hà Nội,Intra city,SPB,2880,5.72,12.6,12.26,10.54,37.6
2026-08-14,Hà Nội,Hà Nội,Intra city,SPE,1897,1.87,8.84,11.64,13.3,35.92
2026-08-14,Hà Nội,Hưng Yên,Intra region,SPB,680,3.51,10.11,12.51,13.23,39.42
2026-08-14,Hà Nội,Hưng Yên,Intra region,SPE,3184,3.41,9.98,12.79,14.63,41.02
2026-08-14,Hà Nội,Hải Phòng,Intra region,SPB,1017,3.45,10.26,14.68,17.04,45.44
2026-08-14,Hà Nội,Hải Phòng,Intra region,SPE,4066,3.78,10.33,13.5,15.24,43.14
2026-08-14,Hà Nội,Hồ Chí Minh,Cross metro,SPB,2341,3.94,9.69,48.49,13.0,75.11
